TIME,CH1
0.1798,0.84
0.1802,0.76
0.1805,1.12
0.1808,0.8
0.1811,0.6
0.1814,0.84
0.1818,0.84
0.1821,0.6
0.1824,0.88
0.1827,0.68
0.183,0.92
0.1834,0.68
0.1837,0.96
0.184,0.56
0.1843,0.84
0.1846,0.8
0.185,0.6
0.1853,0.88
0.1856,0.8
0.1859,0.6
0.1862,0.64
0.1866,1.16
0.1869,0.64
0.1872,0.56
0.1875,0.68
0.1878,0.8
0.1882,0.6
0.1885,0.84
0.1888,0.92
0.1891,0.96
0.1894,0.76
0.1898,0.56
0.1901,0.88
0.1904,0.72
0.1907,0.84
0.191,0.96
0.1914,0.88
0.1917,0.88
0.192,1.04
0.1923,0.88
0.1926,0.56
0.193,0.56
0.1933,0.8
0.1936,0.8
0.1939,0.8
0.1942,0.88
0.1946,0.6
0.1949,0.64
0.1952,0.72
0.1955,0.88
0.1958,0.56
0.1962,0.96
0.1965,0.8
0.1968,0.88
0.1971,0.88
0.1974,0.6
0.1978,0.6
0.1981,0.8
0.1984,0.84
0.1987,0.72
0.199,0.92
0.1994,1.12
0.1997,1.28
0.2,0.68
0.2003,0.76
0.2006,1.08
0.201,0.88
0.2013,0.72
0.2016,0.76
0.2019,0.72
0.2022,0.64
0.2026,0.64
0.2029,0.92
0.2032,0.84
0.2035,1.28
0.2038,0.96
0.2042,0.68
0.2045,0.6
0.2048,0.84
0.2051,0.64
0.2054,0.6
0.2058,0.64
0.2061,0.6
0.2064,0.6
0.2067,0.68
0.207,0.6
0.2074,0.72
0.2077,0.76
0.208,0.64
0.2083,0.92
0.2086,0.8
0.209,0.64
0.2093,0.8
0.2096,0.6
0.2099,0.84
0.2102,0.6
0.2106,0.68
0.2109,0.68
0.2112,0.84
0.2115,0.72
0.2118,0.6
0.2122,1
0.2125,1.16
0.2128,0.84
0.2131,0.64
0.2134,0.84
0.2138,0.8
0.2141,0.64
0.2144,1.12
0.2147,0.8
0.215,0.8
0.2154,1.08
0.2157,0.72
0.216,0.72
0.2163,0.76
0.2166,0.96
0.217,1.32
0.2173,0.92
0.2176,0.96
0.2179,0.68
0.2182,0.68
0.2186,1.2
0.2189,0.64
0.2192,0.64
0.2195,0.84
0.2198,0.68
0.22016,0.76
0.22048,1.12
0.2208,1.12
0.22112,0.92
0.22144,0.6
0.22176,0.88
0.22208,0.84
0.2224,0.64
0.22272,0.76
0.22304,1.04
0.22336,0.8
0.22368,0.56
0.224,1.08
0.22432,0.68
0.22464,0.84
0.22496,0.88
0.22528,0.68
0.2256,0.64
0.22592,0.88
0.22624,0.92
0.22656,0.88
0.22688,0.68
0.2272,0.8
0.22752,0.68
0.22784,0.68
0.22816,0.8
0.22848,0.56
0.2288,0.84
0.22912,0.72
0.22944,0.56
0.22976,0.76
0.23008,0.84
0.2304,0.76
0.23072,0.56
0.23104,1.28
0.23136,0.8
0.23168,0.8
0.232,0.88
0.23232,0.6
0.23264,0.96
0.23296,0.76
0.23328,0.6
0.2336,0.68
0.23392,0.92
0.23424,0.64
0.23456,0.76
0.23488,0.72
0.2352,0.8
0.23552,1.08
0.23584,0.76
0.23616,0.6
0.23648,0.88
0.2368,0.72
0.23712,0.8
0.23744,0.56
0.23776,0.68
0.23808,1
0.2384,0.56
0.23872,0.76
0.23904,0.68
0.23936,0.72
0.23968,0.8
0.24,0.56
0.24032,0.84
0.24064,1
0.24096,0.96
0.24128,0.88
0.2416,0.6
0.24192,1
0.24224,0.56
0.24256,0.84
0.24288,0.84
0.2432,0.8
0.24352,0.96
0.24384,0.8
0.24416,0.64
0.24448,0.88
0.2448,0.8
0.24512,1.36
0.24544,1.08
0.24576,0.84
0.24608,0.72
0.2464,0.88
0.24672,0.64
